Date,symbol,name,stock_at_date,predictions
2024-01-03,AAPL,Apple,184.25,193.00853
2024-01-04,AAPL,Apple,181.91000366210938,191.32895
2024-01-05,AAPL,Apple,181.17999267578125,189.31955
2024-01-08,AAPL,Apple,185.55999755859375,187.26228
2024-01-09,AAPL,Apple,185.13999938964844,185.91034
2024-01-10,AAPL,Apple,186.19000244140625,185.05028
2024-01-11,AAPL,Apple,185.58999633789062,184.71667
2024-01-12,AAPL,Apple,185.9199981689453,184.66957
2024-01-16,AAPL,Apple,183.6300048828125,184.8528
2024-01-17,AAPL,Apple,182.67999267578125,184.89537
2024-01-18,AAPL,Apple,188.6300048828125,184.76189
2024-01-19,AAPL,Apple,191.55999755859375,185.23128
2024-01-22,AAPL,Apple,193.88999938964844,186.31003
2024-01-23,AAPL,Apple,195.17999267578125,187.8996
2024-01-24,AAPL,Apple,194.5,189.76836
2024-01-25,AAPL,Apple,194.1699981689453,191.52112
2024-01-26,AAPL,Apple,192.4199981689453,192.98201
2024-01-29,AAPL,Apple,191.72999572753906,193.90196
2024-01-30,AAPL,Apple,188.0399932861328,194.32191
2024-01-31,AAPL,Apple,184.39999389648438,193.95926
2024-02-01,AAPL,Apple,186.86000061035156,192.7608
2024-02-02,AAPL,Apple,185.85000610351562,191.49405
2024-02-05,AAPL,Apple,187.67999267578125,190.17445
2024-02-06,AAPL,Apple,189.3000030517578,189.18439
2024-02-07,AAPL,Apple,189.41000366210938,188.67192
2024-02-08,AAPL,Apple,188.32000732421875,188.50598
2024-02-09,AAPL,Apple,188.85000610351562,188.44473
2024-02-12,AAPL,Apple,187.14999389648438,188.52689
2024-02-13,AAPL,Apple,185.0399932861328,188.48645
2024-02-14,AAPL,Apple,184.14999389648438,188.14722
2024-02-15,AAPL,Apple,183.86000061035156,187.57742
2024-02-16,AAPL,Apple,182.30999755859375,186.9018
2024-02-20,AAPL,Apple,181.55999755859375,186.0578
2024-02-21,AAPL,Apple,182.32000732421875,185.13004
2024-02-22,AAPL,Apple,184.3699951171875,184.34554
2024-02-23,AAPL,Apple,182.52000427246094,183.9637
2024-02-26,AAPL,Apple,181.16000366210938,183.64146
2024-02-27,AAPL,Apple,182.6300048828125,183.25394
2024-02-28,AAPL,Apple,181.4199981689453,183.05025
2024-02-29,AAPL,Apple,180.75,182.83014
2024-03-01,AAPL,Apple,179.66000366210938,182.55954
2024-03-04,AAPL,Apple,175.10000610351562,182.1687
2024-03-05,AAPL,Apple,170.1199951171875,181.23311
2024-03-06,AAPL,Apple,169.1199951171875,179.53386
2024-03-07,AAPL,Apple,169.0,177.47598
2024-03-08,AAPL,Apple,170.72999572753906,175.4103
2024-03-11,AAPL,Apple,172.75,173.75684
2024-03-12,AAPL,Apple,173.22999572753906,172.74828
2024-03-13,AAPL,Apple,171.1300048828125,172.28503
2024-03-14,AAPL,Apple,173.0,171.97
2024-03-15,AAPL,Apple,172.6199951171875,172.01193
2024-03-18,AAPL,Apple,173.72000122070312,172.21307
2024-03-19,AAPL,Apple,176.0800018310547,172.62213
2024-03-20,AAPL,Apple,178.6699981689453,173.37733
2024-03-21,AAPL,Apple,171.3699951171875,174.54457
2024-03-22,AAPL,Apple,172.27999877929688,174.99448
2024-03-25,AAPL,Apple,170.85000610351562,175.11992
2024-03-26,AAPL,Apple,169.7100067138672,174.85823
2024-03-27,AAPL,Apple,173.30999755859375,174.2671
2024-03-28,AAPL,Apple,171.47999572753906,173.9522
2024-04-01,AAPL,Apple,170.02999877929688,173.60197
2024-04-02,AAPL,Apple,168.83999633789062,173.11894
2024-04-03,AAPL,Apple,169.64999389648438,172.48111
2024-04-04,AAPL,Apple,168.82000732421875,171.915
2024-04-05,AAPL,Apple,169.5800018310547,171.35081
2024-04-08,AAPL,Apple,168.4499969482422,170.93999
2024-04-09,AAPL,Apple,169.6699981689453,170.5329
2024-04-10,AAPL,Apple,167.77999877929688,170.31854
2024-04-11,AAPL,Apple,175.0399932861328,170.02242
2024-04-12,AAPL,Apple,176.5500030517578,170.54312
2024-04-15,AAPL,Apple,173.38999938964844,171.62682
